OTU.ID,WCH1,WXH1
OTU1,2891,158
OTU2,632,554
OTU3,322,822
OTU4,250,268
OTU5,256,163
OTU6,50,1012
OTU7,197,59
OTU8,220,804
OTU9,74,504
OTU10,1019,94
OTU11,116,482
OTU12,28,83
OTU13,3,392
OTU14,433,470
OTU15,291,283
OTU16,18,23
OTU17,7,4
OTU18,2,0
OTU19,262,426
OTU20,52,66
OTU21,581,47
OTU22,68,174
OTU23,2361,1
OTU24,149,114
OTU25,236,83
OTU26,174,131
OTU27,186,7
OTU28,7,168
OTU29,43,112
OTU30,59,251
OTU31,2651,2
OTU32,143,77
OTU33,1,2
OTU34,98,158
OTU35,51,93
OTU36,27,67
OTU37,314,0
OTU38,5,105
OTU39,9,180
OTU40,25,242
OTU41,29,111
OTU42,38,47
OTU43,3,1058
OTU44,1772,48
OTU45,32,0
OTU46,13,268
OTU47,143,190
OTU48,8,447
OTU49,88,257
OTU50,657,52
OTU51,1330,2
OTU52,273,122
OTU53,36,137
OTU54,32,107
OTU55,788,64
OTU56,11,32
OTU57,32,179
OTU58,63,18
OTU59,6,123
OTU60,98,18
OTU61,241,57
OTU62,172,179
OTU63,5,392
OTU64,1,0
OTU65,9,142
OTU66,9,310
OTU67,68,162
OTU68,151,9
OTU69,11,166
OTU70,1,0
OTU71,52,43
OTU72,5,13
OTU73,2,0
OTU74,3,0
OTU75,9,88
OTU76,8,110
OTU77,293,3
OTU78,14,104
OTU79,21,41
OTU80,24,86
OTU81,43,33
OTU82,8,66
OTU83,8,58
OTU84,202,68
OTU85,90,1
OTU86,45,36
OTU87,8,20
OTU88,3,24
OTU89,38,90
OTU90,69,25
OTU91,0,42
OTU92,3,27
OTU93,25,20
OTU94,12,124
OTU95,0,422
OTU96,13,96
OTU97,5,0
OTU98,9,260
OTU99,9,157
OTU100,0,75
OTU101,57,34
OTU102,0,0
OTU103,6,186
OTU104,0,249
OTU105,6,67
OTU106,69,75
OTU107,13,48
OTU108,0,60
OTU109,16,20
OTU110,135,66
OTU111,23,67
OTU112,5,270
OTU113,0,87
OTU114,263,23
OTU115,13,46
OTU116,7,5
OTU117,28,63
OTU118,1,74
OTU119,8,287
OTU120,7,39
OTU121,11,37
OTU122,23,62
OTU123,38,76
OTU124,54,52
OTU125,10,12
OTU126,7,59
OTU127,0,4
OTU128,9,34
OTU129,4,17
OTU130,59,3
OTU131,4,7
OTU132,48,23
OTU133,11,9
OTU134,4,0
OTU135,84,15
OTU136,5,14
OTU137,19,3
OTU138,7,74
OTU139,23,57
OTU140,7,66
OTU141,39,61
OTU142,54,159
OTU143,3,186
OTU144,4,14
OTU145,11,83
OTU146,0,91
OTU147,0,45
OTU148,12,10
OTU149,3,1
OTU150,0,1
OTU152,109,18
OTU153,1,1
OTU154,38,289
OTU155,39,41
OTU156,2,0
OTU157,27,19
OTU158,1,13
OTU159,132,1
OTU160,8,88
OTU161,0,44
OTU162,15,34
OTU164,24,50
OTU165,1,51
OTU166,12,328
OTU167,0,57
OTU168,260,1
OTU172,12,8
OTU174,16,19
OTU178,15,7
OTU180,8,18
OTU182,0,1
OTU151,0,0
